"MANUFACTURERCODE","BRANDCODE","DESCRIPTION"
"1A4",3,Chrysler
"1A8",3,Chrysler
"1B3",46,Dodge
"1B4",46,Dodge
"1B6",46,Dodge
"1B7",46,Dodge
"1C3",3,Chrysler
"1C4",3,Chrysler
"1C8",3,Chrysler
"1D3",46,Dodge
"1D4",46,Dodge
"1D5",46,Dodge
"1D7",46,Dodge
"1D8",46,Dodge
"1F1",8,Ford
"1F6",8,Ford
"1FA",8,Ford
"1FB",8,Ford
"1FC",8,Ford
"1FD",8,Ford
"1FE",8,Ford
"1FM",8,Ford
"1FT",8,Ford
"1G1",41,Chevrolet
"1G5",72,GMC
"1G8",41,Chevrolet
"1GA",41,Chevrolet
"1GB",41,Chevrolet
"1GC",41,Chevrolet
"1GD",72,GMC
"1GG",73,Isuzu
"1GH",72,GMC
"1GJ",72,GMC
"1GK",72,GMC
"1GN",41,Chevrolet
"1GT",72,GMC
"1HG",9,Honda
"1J4",29,Jeep
"1J7",29,Jeep
"1J8",29,Jeep
"1JC",29,Jeep
"1JT",29,Jeep
"1N4",16,Nissan
"1N6",16,Nissan
"1NX",21,Toyota
"1V1",2,Volkswagen
"1VW",2,Volkswagen
"1WU",28,Volvo
"1Y1",41,Chevrolet
"1YV",11,Mazda
"1Z3",22,Mitsubishi
"1Z5",22,Mitsubishi
"1Z7",22,Mitsubishi
"1ZV",8,Ford
"2A3",3,Chrysler
"2A4",3,Chrysler
"2A8",3,Chrysler
"2B3",46,Dodge
"2B4",46,Dodge
"2B5",46,Dodge
"2B6",46,Dodge
"2B7",46,Dodge
"2B8",46,Dodge
"2BC",29,Jeep
"2C1",41,Chevrolet
"2C3",3,Chrysler
"2C4",3,Chrysler
"2C8",3,Chrysler
"2CN",41,Chevrolet
"2D4",46,Dodge
"2D6",46,Dodge
"2D7",46,Dodge
"2D8",46,Dodge
"2FA",8,Ford
"2FD",8,Ford
"2FM",8,Ford
"2FT",8,Ford
"2G0",72,GMC
"2G1",41,Chevrolet
"2G5",72,GMC
"2G8",41,Chevrolet
"2GA",41,Chevrolet
"2GB",41,Chevrolet
"2GD",72,GMC
"2GJ",72,GMC
"2GK",72,GMC
"2GN",41,Chevrolet
"2GT",72,GMC
"2HG",9,Honda
"2HJ",9,Honda
"2HK",9,Honda
"2HM",10,Hyundai
"2J4",29,Jeep
"2S2",23,Suzuki
"2S3",23,Suzuki
"2T1",21,Toyota
"2T2",76,Lexus
"3A4",3,Chrysler
"3A8",3,Chrysler
"3AV",4,BMW
"3B3",46,Dodge
"3B4",46,Dodge
"3B6",46,Dodge
"3B7",46,Dodge
"3C3",3,Chrysler
"3C4",3,Chrysler
"3C8",3,Chrysler
"3CA",3,Chrysler
"3D3",46,Dodge
"3D5",46,Dodge
"3D6",46,Dodge
"3D7",46,Dodge
"3FA",8,Ford
"3FC",8,Ford
"3FD",8,Ford
"3FE",8,Ford
"3FR",8,Ford
"3FT",8,Ford
"3G1",41,Chevrolet
"3GB",41,Chevrolet
"3GC",41,Chevrolet
"3GD",72,GMC
"3GE",41,Chevrolet
"3GK",72,GMC
"3GN",41,Chevrolet
"3GT",72,GMC
"3HG",9,Honda
"3HM",9,Honda
"3N1",16,Nissan
"3TM",21,Toyota
"3VW",2,Volkswagen
"4A3",22,Mitsubishi
"4A4",22,Mitsubishi
"4B3",46,Dodge
"4C3",3,Chrysler
"4F2",11,Mazda
"4F4",11,Mazda
"4G1",41,Chevrolet
"4GD",72,GMC
"4GT",73,Isuzu
"4JG",12,Mercedes-Benz
"4KB",41,Chevrolet
"4KD",72,GMC
"4KL",73,Isuzu
"4N1",16,Nissan
"4N2",16,Nissan
"4NU",73,Isuzu
"4S1",73,Isuzu
"4S2",73,Isuzu
"4S3",34,Subaru
"4S4",34,Subaru
"4S6",9,Honda
"4T1",21,Toyota
"4T3",21,Toyota
"4TA",21,Toyota
"4US",4,BMW
"4V1",28,Volvo
"4V2",28,Volvo
"4V4",28,Volvo
"4V5",28,Volvo
"4VA",28,Volvo
"4VG",28,Volvo
"4VH",28,Volvo
"4VL",28,Volvo
"4VM",28,Volvo
"5FN",9,Honda
"5J6",9,Honda
"5N1",16,Nissan
"5NM",10,Hyundai
"5NP",10,Hyundai
"5S3",42,Saab
"5TB",21,Toyota
"5TD",21,Toyota
"5TE",21,Toyota
"5TF",21,Toyota
"5UM",4,BMW
"5UX",4,BMW
